X,Y,OBJECTID,CAM_NUM,NOTES,LOCATION,PROJ,XCOORD,YCOORD,created_user,created_date,last_edited_user,last_edited_date
-8530903.76029935,4765469.92198803,16,1111, ,Division St and Laurens St,Pennsylvania Ave,-76.63441016,39.30509689,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530927.69304647,4765239.42170465,17,1112, ,Pennsylvania Ave and Wilson St,Pennsylvania Ave,-76.63462515,39.30349466,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530795.79622981,4765361.98791346,18,1113, ,Division St and Islamic Way,Pennsylvania Ave,-76.6334403,39.30434664,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530889.38669461,4765160.14244163,19,1114, ,Pennsylvania Ave and Pitcher St,Pennsylvania Ave,-76.63428104,39.30294358,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531066.54996031,4764991.08748318,20,1115, ,N Fremont Ave and Pitcher St,Pennsylvania Ave,-76.63587252,39.30176843,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530805.38869877,4764918.36656734,21,1116, ,Mosher St and Argyle St,Pennsylvania Ave,-76.63352647,39.30126292,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530705.88349325,4765005.61905638,22,1117, ,Pennsylvania Ave and Mosher St,Pennsylvania Ave,-76.6326326,39.30186944,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527373.9007295,4766438.22704715,23,1201, ,E North Ave and Aisquith,North Ave East,-76.6027009,39.31182727,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527015.94345765,4766463.50783693,24,1202, ,E North Ave and Harford,North Ave East,-76.59948531,39.31200298,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526532.76050333,4766497.26367607,25,1203, ,E North Ave and Broadway,North Ave East,-76.59514481,39.3122376,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526163.29569726,4766509.35643952,26,1204, ,E North Ave and Wolfe,North Ave East,-76.59182585,39.31232164,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8525996.98556972,4766518.7119039,27,1205, ,E North Ave and Washington,North Ave East,-76.59033186,39.31238667,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8525806.79394474,4766530.14452328,28,1206, ,E North Ave and Chester,North Ave East,-76.58862334,39.31246613,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8525674.1700255,4766537.98688937,29,1207, ,E North Ave and Collington,North Ave East,-76.58743196,39.31252063,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8525296.06784337,4766564.49723998,30,1208, ,E North Ave and Belair,North Ave East,-76.58403541,39.31270489,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8525280.24531022,4766540.35306156,31,1209, ,E North Ave and Port,North Ave East,-76.58389328,39.31253708,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8525194.32049961,4766564.2637388,32,1210, ,E North Ave and Milton,North Ave East,-76.5831214,39.31270327,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526973.89635273,4766612.05313385,33,1301, ,Harford and 20th,Harford Rd,-76.5991076,39.31303541,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526864.21454837,4766779.53640522,34,1302, ,Harford and Broadway,Harford Rd,-76.59812231,39.31419945,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526754.3949314,4766907.86523744,35,1303, ,Harford and Darley,Harford Rd,-76.59713579,39.31509135,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526671.40709296,4767009.60005142,36,1304, ,Harford and Cliftview,Harford Rd,-76.59639029,39.3157984,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526594.55237538,4767124.42751305,37,1305, ,Harford and 25th,Harford Rd,-76.5956999,39.31659644,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526402.42779284,4767303.07456654,38,1306, ,Harford Harbor City School,Harford Rd,-76.59397401,39.31783801,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526333.9816821,4767424.15768242,39,1307, ,Harford and Montpelier,Harford Rd,-76.59335915,39.3186795,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526273.47892378,4767505.25218356,40,1308, ,Harford and Homestead,Harford Rd,-76.59281564,39.31924308,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526095.61430948,4767727.71155348,41,1309, ,Harford and Abbotston,Harford Rd,-76.59121786,39.32078907,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8526016.94919813,4767787.36861211,42,1310, ,Harford and Alameda,Harford Rd,-76.5905112,39.32120365,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8525951.88914667,4767869.31275792,43,1311, ,Harford and Tivoly,Harford Rd,-76.58992675,39.32177311,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8525886.54821447,4767929.89595131,44,1312, ,Harford and Fenwick,Harford Rd,-76.58933979,39.32219412,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8525813.77458463,4768047.93773423,45,1313, ,Harford and Hugo,Harford Rd,-76.58868605,39.32301443,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8524971.6474434,4766924.65464737,46,1401, ,Belair and Ravenwood,Belair Rd,-76.5811211,39.31520803,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8524881.09502152,4767024.9847563,47,1402, ,Belair and Elmora,Belair Rd,-76.58030765,39.31590532,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8524813.45365537,4767101.8431101,48,1403, ,Belair and Lyndale,Belair Rd,-76.57970002,39.31643948,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8524740.61125806,4767185.81074688,49,1404, ,Belair and Elmley,Belair Rd,-76.57904566,39.31702305,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8524572.78936432,4767372.13725747,50,1405, ,Belair across from shopping center,Belair Rd,-76.5775381,39.31831797,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8524393.85681373,4767556.88029168,51,1406, ,Belair and Cliftmont,Belair Rd,-76.57593072,39.31960187,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8524260.40477096,4767702.04433135,52,1407, ,Belair and Mareco,Belair Rd,-76.5747319,39.32061069,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8524244.49114443,4767746.0664109,53,1408, ,Belair and Clifton Park Terrace,Belair Rd,-76.57458894,39.32091662,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8524153.80142599,4767856.93785937,54,1409, ,Belair and Erdman,Belair Rd,-76.57377426,39.32168711,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8523156.52028491,4768875.43817519,55,1410, ,Belair and Sheldon,Belair Rd,-76.56481554,39.32876469,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8528366.79284174,4762147.93275601,56,1904, ,Science Center,Inner Harbor,-76.6116202,39.28200188,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8528398.68865024,4762635.35594002,57,1907, ,Light Street Food Hall,Inner Harbor,-76.61190673,39.285391,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8528698.38556031,4762461.43072229,58,1920, ,Charles and Conway,Federal Reserve,-76.61459895,39.2841817,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529022.42784867,4762445.7636403,59,1921, ,Sharp and Conway,Federal Reserve,-76.61750987,39.28407276,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529142.48603817,4761624.02923146,60,1571, ,182 Hamburg St,Stadium,-76.61858837,39.27835892,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529035.93224834,4762760.27627875,61,1923, ,Pratt and Sharp,Federal Reserve,-76.61763118,39.28625957,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8528560.45352541,4762791.4733606,62,1924, ,Pratt and Light,Federal Reserve,-76.61335988,39.28647648,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8525721.52296224,4764391.94609845,63,1945, ,McElderry & Chester,Northeast Market,-76.58785734,39.29760346,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531031.86534203,4765344.55661581,64,1964, ,Pennsylvania and Laurens,Avenue Market,-76.63556094,39.30422547,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531164.53372474,4765244.16579695,65,1965, ,Fremont and Laurens,Avenue Market,-76.63675272,39.30352764,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530986.75430485,4765223.20934014,66,1966, ,Avenue Market Parking Lot,Avenue Market,-76.63515571,39.30338197,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530274.48272155,4764696.04706473,67,2001, ,553 Dolphin St,McCulloh,-76.62875726,39.29971747,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530214.89919782,4764659.77871697,68,2002, ,569 Dolphin St,McCulloh,-76.62822202,39.29946535,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530169.49802149,4764672.96663758,69,2003, ,520 Hoffman St,McCulloh,-76.62781417,39.29955702,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530211.62051411,4764762.93105476,70,2004, ,517 Dolphin St,McCulloh,-76.62819256,39.30018242,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530079.65394273,4764655.79932797,71,2005, ,534 Preston St,McCulloh,-76.62700709,39.29943768,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530159.13205434,4764797.83772012,72,2006, ,503 Dolphin St,McCulloh,-76.62772105,39.30042507,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530182.89225507,4764595.52618605,73,2007, ,535 Hoffman St,McCulloh,-76.62793449,39.29901869,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530111.9615334,4764528.92233575,74,2008, ,570 Preston St,McCulloh,-76.62729731,39.29855568,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530069.6370456,4764575.24424963,75,2009, ,556 Preston St,McCulloh,-76.6269171,39.2988777,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530022.61755602,4764602.37416968,76,2010, ,516 Preston St,McCulloh,-76.62649472,39.29906629,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530032.01903906,4764643.55312254,77,2011, ,514 Preston St,McCulloh,-76.62657918,39.29935255,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530021.13083952,4764726.67586873,78,2012, ,1020 Druid Hill Rd,McCulloh,-76.62648137,39.29993039,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529963.24832316,4765026.80744829,79,2013, ,1135 Tiffany Ct,McCulloh,-76.6259614,39.30201673,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529903.62610043,4764964.43375464,80,2014, ,1101 Tiffany Ct,McCulloh,-76.6254258,39.30158315,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529899.65063286,4764847.36203524,81,2015, ,1035 Tiffany Ct,McCulloh,-76.62539009,39.30076934,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529794.48646037,4764850.58243541,82,2016, ,1001 Tiffany Ct,McCulloh,-76.62444539,39.30079172,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529868.07051065,4764814.42632972,83,2017, ,440 Oxford Ct,McCulloh,-76.6251064,39.30054038,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530022.9209519,4764934.40775057,84,2018, ,443 Manse Ct,McCulloh,-76.62649745,39.30137443,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530096.17392773,4764897.479541,85,2019, ,1134 Stoddard Ct,McCulloh,-76.62715549,39.30111772,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8530036.8065895,4764835.47451968,86,2020, ,1100 Stoddard Ct,McCulloh,-76.62662218,39.3006867,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529986.52913777,4764783.79158772,87,2021, ,1034 Stoddard Ct,McCulloh,-76.62617053,39.30032743,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529928.02501411,4764721.2999686,88,2022, ,1000 Stoddard Ct,McCulloh,-76.62564498,39.29989302,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529829.70876262,4764731.8804671,89,2023, ,442 Walton Ct,McCulloh,-76.62476179,39.29996657,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8529793.62532756,4764582.59455177,90,2024, ,900 Stoddard Ct,McCulloh,-76.62443765,39.29892879,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532161.11449407,4765864.69596452,91,2101, ,1638 Bruce Ct rear,Gilmor,-76.64570516,39.30784092,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532147.50856274,4765782.91605807,92,2102, ,1638 Bruce Ct,Gilmor,-76.64558293,39.30727249,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532154.10458043,4765710.45445487,93,2103, ,1600 Bruce Ct rear,Gilmor,-76.64564219,39.30676882,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532085.25895201,4765713.61456969,94,2105, ,1601 Bakbury Ct,Gilmor,-76.64502374,39.30679079,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532094.27789726,4765867.64086477,95,2106, ,1679 Bakbury Ct,Gilmor,-76.64510476,39.30786139,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532046.22276179,4765869.56175269,96,2107, ,1678 Mountmor Ct,Gilmor,-76.64467307,39.30787474,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532048.83144473,4765715.45771861,97,2108, ,1600 Mountmor Ct,Gilmor,-76.6446965,39.3068036,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531987.17364833,4765872.64860411,98,2111, ,1679 Vincent Ct,Gilmor,-76.64414262,39.3078962,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531984.73139623,4765799.57843675,99,2112, ,1641 Vincent Ct,Gilmor,-76.64412068,39.3073883,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531959.05129164,4765521.61270354,100,2116, ,1500 Pressman Ct,Gilmor,-76.64389,39.3054562,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531921.42535844,4765561.20724275,101,2117, ,1519 Presser Ct,Gilmor,-76.643552,39.30573142,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532039.19651682,4765491.86300122,102,2120, ,1458 Mountmor Ct,Gilmor,-76.64460995,39.30524941,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532026.41864031,4765428.74022149,103,2121, ,1428 Mountmor Ct,Gilmor,-76.64449517,39.30481064,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531960.98734126,4765450.17175492,104,2122, ,1629 Balmor Ct rear,Gilmor,-76.64390739,39.30495961,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531999.90274716,4765374.28875274,105,2123, ,1401 Mountmor Ct,Gilmor,-76.64425697,39.30443214,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531975.00238467,4765380.5476926,106,2124, ,1639 Booker Ct,Gilmor,-76.64403329,39.30447565,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531954.98684943,4765313.05856054,107,2126, ,1629 Lorman Ct,Gilmor,-76.64385348,39.30400653,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531993.66899328,4765321.14884739,108,2127, ,1631 Lorman Ct,Gilmor,-76.64420097,39.30406276,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532032.01633377,4765319.83984952,109,2128, ,1649 Lorman Ct,Gilmor,-76.64454545,39.30405366,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532030.60855624,4765275.10148322,110,2129, ,1658 Delano Ct,Gilmor,-76.6445328,39.30374268,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531953.24033088,4765278.02689525,111,2130, ,1628 Delano Ct,Gilmor,-76.64383779,39.30376302,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8531898.74538213,4765279.74951713,112,2131, ,1600 Delano Ct,Gilmor,-76.64334826,39.30377499,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8532012.16541735,4765652.59822453,113,2132, ,1521 Mountmor Ct,Gilmor,-76.64436713,39.30636667,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527757.00043648,4764910.12195194,114,2201, ,800 Abbott Ct,Latrobe,-76.60614234,39.30120561,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527629.65505641,4764927.61381777,115,2202, ,856 Abbott Ct,Latrobe,-76.60499838,39.3013272,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527702.3624555,4764849.13080075,116,2203, ,818 Webb Ct,Latrobe,-76.60565152,39.30078163,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527734.29317289,4764778.27333697,117,2204, ,800 McAleer Ct,Latrobe,-76.60593836,39.30028907,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527663.29443955,4764778.99292319,118,2205, ,834 McAleer Ct,Latrobe,-76.60530057,39.30029407,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527602.9786991,4764743.12215182,119,2206, ,864 McAleer Ct,Latrobe,-76.60475874,39.30004471,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527654.77649623,4764740.83598361,120,2207, ,831 McAleer Ct,Latrobe,-76.60522405,39.30002882,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527725.88933071,4764727.2360976,121,2208, ,859 Homewood Ave,Latrobe,-76.60586287,39.29993428,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527705.86530191,4764648.02928258,122,2209, ,820 Hillman Ct,Latrobe,-76.60568299,39.29938367,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527747.07353845,4764642.40084291,123,2210, ,819 Hillman Ct,Latrobe,-76.60605317,39.29934454,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527552.42625127,4764919.72586347,124,2211, ,819 Homewood Ave,Latrobe,-76.60430462,39.30127237,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527488.29792739,4764848.06856546,125,2212, ,916 Webb Ct,Latrobe,-76.60372855,39.30077425,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527549.0711249,4764799.76763639,126,2213, ,921 Webb Ct,Latrobe,-76.60427448,39.30043848,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527493.69726057,4764769.50334087,127,2214, ,922 Ashland Ct,Latrobe,-76.60377705,39.3002281,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527606.72949742,4764706.14918532,128,2215, ,859 McAleer Ct,Latrobe,-76.60479244,39.29978769,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527504.71560293,4764625.62927528,129,2216, ,943 Wilmot Ct,Latrobe,-76.60387603,39.29922795,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527450.69405012,4764927.81748339,130,2217, ,1000 Abbott Ct,Latrobe,-76.60339075,39.30132861,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527374.50325716,4764820.96229138,131,2218, ,1101 Webb Ct,Latrobe,-76.60270631,39.30058582,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527391.71671341,4764773.76868078,132,2219, ,1000 Ashland Ct,Latrobe,-76.60286094,39.30025775,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527419.12800564,4764716.86251365,133,2220, ,1020 McAleer Ct,Latrobe,-76.60310718,39.29986217,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527467.33924387,4764694.11044728,134,2221, ,1001 McAleer Ct,Latrobe,-76.60354027,39.29970401,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527309.26735237,4764754.6452779,135,2222, ,1116 McAleer Ct,Latrobe,-76.60212029,39.30012482,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527318.58593682,4764722.36642516,136,2223, ,1130 McAleer Ct,Latrobe,-76.602204,39.29990043,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527371.21889341,4764633.5479814,137,2224, ,1101 Wilmot Ct,Latrobe,-76.60267681,39.299283,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527596.34673787,4764859.20140352,138,2225, ,901 Valley Ct,Latrobe,-76.60469917,39.30085164,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527593.70027351,4764772.15934407,139,2226, ,901 Valley Ct,Latrobe,-76.60467539,39.30024656,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
-8527588.12877632,4764687.90842699,140,2227, ,901 McAleer Ct,Latrobe,-76.60462534,39.29966089,EGISDATA,2021/10/29 13:59:48+00,EGISDATA,2021/10/29 13:59:48+00
